id,variant,query
1,base,A man indoors looking at camera where a bookcase is behind him
1,content_only,"man indoors looking camera bookcase"
1,keyboard,A man indoors looking ar camera where a bookcase is behind him
1,keyboard,A man indoors looking at cakera where a bookcase is behind him
1,keyboard,A man indoors looking at camera where a bolkcase is behind him
1,keyboard,A man kndoors looking at camera where a bookcase is behind him
1,keyboard,S man indoors looking at camera where a bookcase is behind him
1,lower,a man indoors looking at camera where a bookcase is behind him
1,n+adj_only,"man indoors camera bookcase"
1,n_only,"man indoors camera bookcase"
1,punctuation,"A man indoors looking at camera where a bookcase is behind him."
1,remove,A man indoors loking at camera where a bookcase is behind him
1,remove,A man indoors looing at camera where a bookcase is behind him
1,remove,A man indoors looking at camera where a bokcase is behind him
1,remove,A man indoors looking at camer where a bookcase is behind him
1,remove,A man indoors looking at cmera where a bookcase is behind him
1,repeat,A maan indoors looking at camera where a bookcase is behind him
1,repeat,A man iindoors looking at camera where a bookcase is behind him
1,repeat,A man inddoors looking at camera where a bookcase is behind him
1,repeat,A man indooors looking at camera where a bookcase is behind him
1,repeat,A man indoors looking at camera where a bookcasee is behind him
1,rephrase,"A man, positioned indoors and facing the camera, has a bookcase visible behind him"
1,rephrase,"An individual situated inside, facing the lens, has a bookshelf located in the background"
1,rephrase,"An indoor gentleman gazes into the lens with a shelf-filled structure at his back"
1,rephrase,"An indoor male subject is captured on camera with a bookshelf filling the space behind him"
1,rephrase,"An indoor man is captured on camera with a bookcase situated in the background"
1,rephrase,"An indoor man is facing the camera, with a bookcase prominent in the background"
1,rephrase,"An indoor man is looking at the camera with a bookcase visible in the background"
1,rephrase,"An indoor man is photographed with a bookcase positioned behind him"
1,rephrase,"An indoor man stares directly at the camera, a bookcase serving as his backdrop"
1,rephrase,"The man is inside, looking at the camera with a bookcase in view behind him"
1,shuffle_keywords,"man indoors looking camera bookcase"
1,shuffle_n+adj,"man indoors camera bookcase"
1,shuffle_nouns,"man indoors camera bookcase"
1,swap,A man indoors looking at camera where a bookcase is behin dhim
1,swap,A man indoors looking at camera where a bookcasei s behind him
1,swap,A man indoors looking at camera where a bookcase is behind ihm
